track,experiment,value,gpt_sol_skill_on,gpt_sol_skill_off,qwen_flash_skill_on,qwen_flash_skill_off,within_task_sd,model_gap
property_calculation_basic,selection_penalty,0.0,65.37030121123851,60.399864834940985,64.92462984975967,66.08002771905943,20.47573368062538,-2.6172457613197975
property_calculation_basic,selection_penalty,0.003,74.72253931741822,70.8808295214928,74.8114362830808,76.10680549963129,19.8282508092205,-2.6574364719005428
property_calculation_basic,selection_penalty,0.01,76.42503365631498,72.22422125852765,76.40796663472162,77.83399658569233,19.24820265012753,-2.796354152785663
property_calculation_basic,selection_penalty,0.03,81.24027722408394,78.30811913226788,79.34772939575426,80.39458454007504,17.384248932868147,-0.09695878973873251
property_calculation_basic,selection_penalty,0.1,85.09043350164322,85.04211591915723,86.1050013883003,83.87048754217275,13.068977778894391,0.07853024516371043
property_calculation_basic,frozen_width_multiplier,0.8,78.99683056227799,75.8243695159905,78.09630397921546,78.43440714568203,17.450280644234546,-0.8547555233145099
property_calculation_basic,frozen_width_multiplier,1.0,81.24027722408394,78.30811913226788,79.34772939575426,80.39458454007504,17.384248932868147,-0.09695878973873251
property_calculation_basic,frozen_width_multiplier,1.2,84.34762994650661,81.91669895186209,82.76723372335015,82.7122950567331,14.762932511579082,0.3924000591427279
property_calculation_advanced,selection_penalty,0.0,57.44103462082846,39.99275933321295,56.350809824646966,27.493613305221093,28.406564815216072,6.794685412086671
property_calculation_advanced,selection_penalty,0.003,62.026469775655414,44.63258815985228,60.916608679708105,36.324907608271445,28.27544518116085,4.708770823764075
property_calculation_advanced,selection_penalty,0.01,62.026469775655414,44.63258815985228,60.916608679708105,36.324907608271445,28.27544518116085,4.708770823764075
property_calculation_advanced,selection_penalty,0.03,62.71728672032258,44.64841094466241,62.70487218255323,40.77272174987917,27.846432442449366,1.9440518662762973
property_calculation_advanced,selection_penalty,0.1,66.01975660702573,48.382233992006654,64.35164894218943,41.325771414217805,27.14760102019692,4.362285121312571
property_calculation_advanced,frozen_width_multiplier,0.8,59.0650731780783,41.417574527798315,57.39393122434241,31.86420346126993,27.456172787634202,5.61225651013213
property_calculation_advanced,frozen_width_multiplier,1.0,62.026469775655414,44.63258815985228,60.916608679708105,36.324907608271445,28.27544518116085,4.708770823764075
property_calculation_advanced,frozen_width_multiplier,1.2,66.04234362748491,49.544517762480346,65.72471735803119,42.73823073536882,26.153298366544753,3.561956648282616
