track,variant,group,n,mean,sd,median,q25,q75,zero_rate,low_rate,high_rate,full_rate,ci95_lower,ci95_upper
property_calculation_basic,baseline,gpt_sol_skill_on,51,91.26759738558808,15.88424999607723,96.10000000000002,92.33333333333329,99.7738128133265,0.0,0.0,0.8235294117647058,0.11764705882352941,86.47910665759402,95.21832291191795
property_calculation_basic,baseline,gpt_sol_skill_off,51,91.54564381921872,14.49890665968995,96.0,92.33333333333329,99.88106094024639,0.0,0.0,0.7843137254901961,0.11764705882352941,87.23562899954679,95.03630187813468
property_calculation_basic,baseline,qwen_flash_skill_on,51,90.63912280334458,18.683961621935495,97.27787456445995,92.0,99.94784760401028,0.0,0.0196078431372549,0.7843137254901961,0.19607843137254902,84.9831869842842,95.12487591735885
property_calculation_basic,baseline,qwen_flash_skill_off,51,89.83818636950451,20.24121331140844,96.13421988557295,93.94617695248499,99.74278885175792,0.0196078431372549,0.0196078431372549,0.803921568627451,0.1568627450980392,83.64213313065211,94.65591593609793
property_calculation_basic,candidate,gpt_sol_skill_on,51,81.24027722408395,30.04340897844323,91.49528374826043,84.75527426160335,99.547625626653,0.058823529411764705,0.09803921568627451,0.5294117647058824,0.11764705882352941,72.41286464459311,88.86801801424355
property_calculation_basic,candidate,gpt_sol_skill_off,51,78.30811913226789,33.32900805926281,91.64943609022559,80.50000000000009,99.705056847914,0.0784313725490196,0.11764705882352941,0.5686274509803921,0.11764705882352941,68.94907479375941,86.81949954816955
property_calculation_basic,candidate,qwen_flash_skill_on,51,79.34772939575426,35.22745849636728,94.55574912891991,84.8314578644661,99.89569520802058,0.11764705882352941,0.1568627450980392,0.6470588235294118,0.19607843137254902,69.30250499318721,88.4280771884393
property_calculation_basic,candidate,qwen_flash_skill_off,51,80.39458454007506,31.833251458577134,92.26843977114589,84.11736541281383,99.48557770351584,0.11764705882352941,0.11764705882352941,0.5686274509803921,0.1568627450980392,71.07403764367942,88.40898604050162
property_calculation_advanced,baseline,gpt_sol_skill_on,20,66.36526634337115,41.806814398463395,87.68840893430965,36.502499999999955,99.71511539246342,0.2,0.25,0.5,0.2,47.90796743570611,83.22503822437167
property_calculation_advanced,baseline,gpt_sol_skill_off,20,52.354922976858646,40.58350058188385,62.733333333333306,0.05625000000003544,94.23598216259323,0.25,0.3,0.3,0.1,34.830547782998465,69.35053955612834
property_calculation_advanced,baseline,qwen_flash_skill_on,20,66.227234555185,39.83741043444962,85.4790837144112,30.460978456345945,99.73065189231238,0.2,0.2,0.4,0.2,48.31419560949889,82.514476014561
property_calculation_advanced,baseline,qwen_flash_skill_off,20,51.541075477971575,33.890113486804886,56.10151572302941,29.090000000000018,79.4723471662747,0.2,0.2,0.1,0.05,37.12058941237265,66.00692368869029
property_calculation_advanced,candidate,gpt_sol_skill_on,20,62.0264697756554,43.56733098421548,84.37453393430965,14.562355072463767,99.57255444055335,0.2,0.25,0.45,0.2,43.30545029928623,80.15526869191234
property_calculation_advanced,candidate,gpt_sol_skill_off,20,44.63258815985229,43.623613766786285,35.371014492753616,0.0,88.89469747102365,0.35,0.4,0.25,0.1,26.09091091717407,63.1934898527475
property_calculation_advanced,candidate,qwen_flash_skill_on,20,60.91660867970812,42.53163758928617,78.8136775630079,15.340110708963163,99.28615611580622,0.2,0.25,0.35,0.2,41.992863832845465,78.87457249786202
property_calculation_advanced,candidate,qwen_flash_skill_off,20,36.324907608271445,36.95617234418328,22.740247655251217,0.0,71.91983925549916,0.4,0.4,0.05,0.05,20.71571550611592,52.54355852110478
